Show_ID,Movie Title,Director,Country,Release_Year,Rating_class,Duration,Categories,Type
s300,The Swarm,Just Philippot,France,2021,TV-14,102,"Horror Movies, Independent Movies, International Movies",Movie
s301,Vivo,"Kirk DeMicco, Brandon Jeffords","Canada, United States",2021,PG,100,"Children & Family Movies, Music & Musicals",Movie
s302,Chennai Express,Rohit Shetty,India,2013,TV-14,135,"Action & Adventure, Comedies, International Movies",Movie
s303,City of God: 10 Years Later,"Cavi Borges, Luciano Vidigal",Brazil,2013,TV-MA,69,"Documentaries, International Movies",Movie
s305,Lady Boss: The Jackie Collins Story,Laura Fairrie,United Kingdom,2021,TV-14,97,Documentaries,Movie
s307,'76,Izu Ojukwu,Nigeria,2016,TV-PG,118,"Dramas, International Movies",Movie
s308,Aftermath,Peter Winther,United States,2021,TV-MA,115,Horror Movies,Movie
s309,American Masters: Inventing David Geffen,Susan Lacy,United States,2012,TV-MA,115,Movies,Movie
s318,Pray Away,Kristine Stolakis,United States,2021,PG-13,102,"Documentaries, LGBTQ Movies",Movie
s319,Shiny_Flakes: The Teenage Drug Lord,"Eva Müller, Michael Schmitt",,2021,TV-MA,97,"Documentaries, International Movies",Movie
s329,Boyka: Undisputed,Todor Chapkanov,"Bulgaria, United States",2016,R,90,Action & Adventure,Movie
s335,Five Feet Apart,Justin Baldoni,United States,2019,PG-13,116,"Dramas, Romantic Movies",Movie
s340,I missed you: Director's Cut,"Mag Hsu, Hsu Chih-yen",,2021,TV-14,96,"Dramas, Independent Movies, International Movies",Movie
s346,Open Season: Scared Silly,David Feiss,"United States, Canada",2015,PG,85,"Children & Family Movies, Comedies",Movie
s349,Poms,Zara Hayes,"United Kingdom, United States",2019,PG-13,91,Comedies,Movie
s353,The Edge of Seventeen,Kelly Fremon Craig,"United States, China",2016,R,105,"Comedies, Dramas",Movie
s354,The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,United States,2013,R,101,Horror Movies,Movie
s356,The Lincoln Lawyer,Brad Furman,United States,2011,R,118,"Dramas, Thrillers",Movie
s363,The Lost Café,Kenneth Gyang,,2018,TV-14,76,"Dramas, International Movies",Movie
s364,The Vault,Jaume Balagueró,,2021,R,118,"Action & Adventure, International Movies, Thrillers",Movie
s366,Eyes of a Thief,Najwa Najjar,", France, Algeria",2014,TV-14,103,"Dramas, Independent Movies, International Movies",Movie
s368,I'm Glad I Did,Selçuk Metin,,2020,TV-14,114,"Documentaries, International Movies",Movie
s373,Rurouni Kenshin: The Beginning,Keishi Otomo,,2021,TV-MA,138,"Action & Adventure, International Movies",Movie
s374,The Last Mercenary,David Charhon,,2021,TV-MA,112,"Action & Adventure, Comedies, International Movies",Movie
s375,Flower Girl,Michelle Bello,Nigeria,2013,TV-PG,94,"Comedies, International Movies, Romantic Movies",Movie
s376,Resort to Love,Steven Tsuchida,,2021,TV-14,102,"Comedies, Romantic Movies",Movie
s378,Bartkowiak,Daniel Markowicz,Poland,2021,TV-MA,92,"Action & Adventure, International Movies",Movie
s379,Fantastic Fungi,Louie Schwartzberg,United States,2019,TV-14,81,Documentaries,Movie
s384,Department,Ram Gopal Varma,India,2012,TV-MA,143,"Action & Adventure, International Movies",Movie
s385,Hostage House,David Benullo,,2021,TV-14,86,Thrillers,Movie
s388,Mimi,Laxman Utekar,,2021,TV-14,132,"Comedies, Dramas, International Movies",Movie
s390,The Operative,Yuval Adler,"France, Israel, Germany, United States, United Kingdom",2019,TV-MA,117,"Dramas, International Movies, Thrillers",Movie
s393,Django Unchained,Quentin Tarantino,United States,2012,R,165,"Action & Adventure, Dramas",Movie
s394,A Second Chance:  Rivals!,Clay Glen,Australia,2021,PG,91,"Children & Family Movies, Sports Movies",Movie
s395,African America,Muzi Mthembu,,2021,TV-MA,97,"Dramas, Independent Movies, International Movies",Movie
s396,Bankrolled,Marcos Bucay,,2021,TV-MA,97,"Comedies, International Movies",Movie
s397,Blood Red Sky,Peter Thorwarth,,2021,TV-MA,123,"Action & Adventure, Horror Movies, International Movies",Movie
s399,Kingdom: Ashin of the North,Kim Seong-hun,,2021,TV-MA,94,"Horror Movies, International Movies, Thrillers",Movie
s403,The Last Letter From Your Lover,Augustine Frizzell,United Kingdom,2021,TV-MA,111,"Dramas, Romantic Movies",Movie
s405,9to5: The Story of a Movement,,,2021,TV-MA,85,Documentaries,Movie
s406,Chhota Bheem - Dinosaur World,Sidheswar Shukla,,2015,TV-Y,65,Children & Family Movies,Movie
s407,Chhota Bheem - Neeli Pahaadi,Rajiv Chilaka,,2013,TV-Y7,64,Children & Family Movies,Movie
s409,Chhota Bheem & Krishna: Mayanagari,Rajiv Chilaka,,2011,TV-Y7,67,Children & Family Movies,Movie
s411,Chhota Bheem And The Broken Amulet,Rajiv Chilaka,India,2013,TV-Y7,64,Children & Family Movies,Movie
s412,Chhota Bheem And The Crown of Valhalla,Rajiv Chilaka,,2013,TV-Y7,64,Children & Family Movies,Movie
s413,Chhota Bheem and the Incan Adventure,Rajiv Chilaka,,2013,TV-Y7,65,Children & Family Movies,Movie
s414,Chhota Bheem and The ShiNobi Secret,Rajiv Chilaka,,2013,TV-Y7,64,Children & Family Movies,Movie
s415,Chhota Bheem Aur Hanuman,Rajiv Chilaka,,2012,TV-Y7,68,Children & Family Movies,Movie
s417,Chhota Bheem aur Krishna vs Zimbara,Rajiv Chilaka,,2013,TV-Y7,64,Children & Family Movies,Movie
s418,Chhota Bheem in African Safari,Binayak Das,,2015,TV-Y7,62,Children & Family Movies,Movie
s419,Chhota Bheem Ka Roosi Romanch,"Arpan Sarkar, Shyamal Chaulia",,2019,TV-Y,63,Children & Family Movies,Movie
s421,Chhota Bheem: Dholakpur to Kathmandu,Rajiv Chilaka,,2012,TV-Y7,70,Children & Family Movies,Movie
s422,Chhota Bheem: Dus Pe Dus,"Rajiv Chilaka, Owll Mina",,2014,TV-Y7,63,Children & Family Movies,Movie
s423,Chhota Bheem: Journey to Petra,Rajiv Chilaka,,2011,TV-Y7,68,Children & Family Movies,Movie
s424,Chhota Bheem: Master of Shaolin,Rajiv Chilaka,,2011,TV-Y7,74,Children & Family Movies,Movie
s425,Chhota Bheem: The Rise of Kirmada,Rajiv Chilaka,,2012,TV-Y7,68,Children & Family Movies,Movie
s427,Cousins,"Ainsley Gardiner, Briar Grace-Smith",New Zealand,2021,TV-MA,99,Dramas,Movie
s428,Wannabe Courageous,Mahmoud Karim,,2019,TV-14,90,"Comedies, International Movies",Movie
s429,Words Bubble Up Like Soda Pop,Kyohei Ishiguro,,2021,TV-G,87,"Anime Features, Children & Family Movies, International Movies",Movie
s430,Sanitation Day,Seyi Babatope,Nigeria,2020,TV-14,105,"Dramas, International Movies, Thrillers",Movie
s433,Trollhunters: Rise of the Titans,"Johane Matte, Andrew L. Schmidt, Francisco Ruiz Velasco",,2021,TV-Y7,106,Children & Family Movies,Movie
s434,Milkwater,Morgan Ingari,United States,2020,TV-MA,102,"Comedies, Dramas, Independent Movies",Movie
s437,The Tambour of Retribution,Abdulaziz Alshlahei,Saudi Arabia,2021,TV-14,91,"Dramas, International Movies, Romantic Movies",Movie
s438,Cosmic Sin,Edward Drake,United States,2021,R,88,Action & Adventure,Movie
s439,2 Weeks in Lagos,Kathryn Fasegha,,2020,TV-PG,107,"Dramas, International Movies, Romantic Movies",Movie
s440,Deep,"Sita Likitvanichkul, Jetarin Ratanaserikiat, Apirak Samudkitpaisan, Thanabodee Uawithya, Adirek Wattaleela",Thailand,2021,TV-MA,101,"Dramas, International Movies, Thrillers",Movie
s442,Fear Street Part 3: 1666,Leigh Janiak,,2021,R,114,"Horror Movies, LGBTQ Movies",Movie
s446,The Beguiled,Sofia Coppola,United States,2017,R,94,"Dramas, Independent Movies, Thrillers",Movie
s447,The Book of Henry,Colin Trevorrow,United States,2017,PG-13,105,Dramas,Movie
s448,The Twilight Saga: Breaking Dawn: Part 1,Bill Condon,United States,2011,PG-13,117,"Dramas, Romantic Movies",Movie
s449,The Twilight Saga: Breaking Dawn: Part 2,Bill Condon,United States,2012,PG-13,115,"Dramas, Romantic Movies",Movie
s453,A Perfect Fit,Hadrah Daeng Ratu,Indonesia,2021,TV-PG,113,"Comedies, Dramas, International Movies",Movie
s456,Emicida: AmarElo - Live in São Paulo,Fred Ouro Preto,,2021,TV-MA,100,"Documentaries, International Movies, Music & Musicals",Movie
s458,Lift Like a Girl,Mayye Zayed,"Egypt, Denmark, Germany",2021,TV-PG,93,"Documentaries, International Movies, Sports Movies",Movie
s459,My Amanda,Alessandra de Rossi,,2021,TV-14,90,"Dramas, International Movies, Romantic Movies",Movie
s462,The Unknown Saint,Alaa Eddine Aljem,,2019,TV-14,100,"Comedies, Dramas, Independent Movies",Movie
s463,This Changes Everything,Tom Donahue,United States,2019,TV-MA,96,Documentaries,Movie
s464,A Classic Horror Story,"Roberto De Feo, Paolo Strippoli",Italy,2021,TV-MA,95,"Horror Movies, International Movies",Movie
s465,Gunpowder Milkshake,Navot Papushado,,2021,R,115,"Action & Adventure, Comedies",Movie
s468,Private Network: Who Killed Manuel Buendía?,Manuel Alcalá,,2021,TV-MA,100,"Documentaries, International Movies",Movie
s469,The Guide to the Perfect Family,Ricardo Trogi,,2021,TV-MA,102,"Comedies, Dramas, International Movies",Movie
s470,American Woman,Semi Chellas,"United States, Canada",2019,TV-MA,87,"Dramas, Independent Movies",Movie
s471,Bridgerton - The Afterparty,,,2021,TV-14,39,Movies,Movie
s472,Day of Destiny,"Akay Mason, Abosi Ogba",,2021,TV-PG,110,"Children & Family Movies, Dramas, International Movies",Movie
s474,Born to Play,Viridiana Lieberman,United States,2020,TV-MA,93,"Documentaries, Sports Movies",Movie
s475,American Ultra,Nima Nourizadeh,"United States, Switzerland",2015,R,96,"Action & Adventure, Comedies",Movie
s476,The Stand-Up,Daniel Růžička,,2019,TV-MA,93,Stand-Up Comedy,Movie
s477,The Tour,Juraj Šajmovič,,2016,TV-MA,93,"Comedies, Documentaries, International Movies",Movie
s480,Fear Street Part 2: 1978,Leigh Janiak,,2021,R,111,Horror Movies,Movie
s481,Finding Hubby,Femi D. Ogunsanwo,,2020,TV-14,105,"Comedies, Dramas, International Movies",Movie
s482,How I Became a Superhero,Douglas Attal,,2021,TV-MA,101,"Action & Adventure, Dramas, International Movies",Movie
s484,Last Summer,,,2021,TV-MA,102,"Dramas, International Movies, Romantic Movies",Movie
s485,Lee Su-geun: The Sense Coach,Kim Joo-hyung,,2021,TV-G,46,Stand-Up Comedy,Movie
s486,Lethal Love,Avi Federgreen,,2021,TV-14,89,Thrillers,Movie
s487,Ratchet and Clank,"Jericca Cleland, Kevin Munroe","Hong Kong, Canada, United States",2016,PG,94,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",Movie
s490,Back to Q82,Ahmed Siddiqui,"Kuwait, United States",2017,TV-14,104,"Comedies, International Movies",Movie
s492,Home Again,Hallie Meyers-Shyer,United States,2017,PG-13,97,"Comedies, Dramas, Romantic Movies",Movie
s493,Midnight Sun,Scott Speer,United States,2018,PG-13,91,"Dramas, Romantic Movies",Movie
s495,Rock the Kasbah,Barry Levinson,United States,2015,R,106,"Comedies, Music & Musicals",Movie
s496,Awon Boyz,Tolulope Itegboje,,2019,TV-MA,38,"Documentaries, International Movies",Movie
s497,Brick Mansions,Camille Delamarre,"France, Canada, United States, Spain",2014,PG-13,90,"Action & Adventure, International Movies",Movie
s499,Clash,Pascal Atuma,,2020,TV-MA,87,"Dramas, International Movies",Movie
s501,Major Grom: Plague Doctor,Oleg Trofim,,2021,TV-MA,138,"Action & Adventure, International Movies",Movie
s502,Mama Drama,Seyi Babatope,,2020,TV-MA,105,"Dramas, International Movies",Movie
s506,Therapy,"Anurin Nwunembom, Musing Derrick",,2020,TV-PG,85,"Dramas, International Movies",Movie
s507,This Little Love Of Mine,Christine Luby,Australia,2021,TV-G,92,"International Movies, Romantic Movies",Movie
s508,Three Thieves,Udoka Oyeka,,2019,TV-14,108,"Comedies, International Movies",Movie
s509,A Land Imagined,Yeo Siew Hua,"France, Netherlands, Singapore",2019,TV-MA,95,"Dramas, International Movies",Movie
s519,Har Kisse Ke Hisse: Kaamyaab,Hardik Mehta,India,2020,TV-14,105,"Dramas, International Movies",Movie
s529,Rehmataan,"Rajveer Singh Maan, Harpeet Singh",India,2012,TV-14,116,"Dramas, International Movies, Romantic Movies",Movie
s532,Rise: Ini Kalilah,"Saw Teong Hin, Nik Amir Mustapha, M.S. Prem Nath",Malaysia,2018,TV-PG,101,"Dramas, International Movies",Movie
s535,Si Doel the Movie 2,Rano Karno,Indonesia,2019,TV-G,95,"Dramas, International Movies",Movie
s542,Truckbhar Swapna,Pramod Pawar,India,2018,TV-14,128,"Comedies, Dramas, International Movies",Movie
s551,Fear Street Part 1: 1994,Leigh Janiak,,2021,R,107,"Horror Movies, LGBTQ Movies",Movie
s552,Haseen Dillruba,Vinil Mathew,India,2021,TV-MA,136,"International Movies, Romantic Movies, Thrillers",Movie
s553,Holiday on Mars,Neri Parenti,,2020,TV-MA,94,"Comedies, International Movies",Movie
s555,RattleSnake - The Ahanna Story,Ramsey Nouah,Nigeria,2020,TV-MA,136,"Dramas, International Movies, Thrillers",Movie
s556,Snowpiercer,Bong Joon Ho,"South Korea, Czech Republic",2013,R,126,"Action & Adventure, Cult Movies, International Movies",Movie
s557,The 8th Night,Kim Tae-hyung,South Korea,2021,TV-14,116,"Horror Movies, International Movies, Thrillers",Movie
s558,Winchester,"Michael Spierig, Peter Spierig","Australia, United States",2018,PG-13,100,"Horror Movies, Sci-Fi & Fantasy",Movie
s559,6 Bullets,Ernie Barbarash,United States,2012,R,115,Action & Adventure,Movie
s561,Audible,Matt Ogens,,2021,PG-13,39,"Documentaries, Sports Movies",Movie
s570,Dreamy Eyes,Victor Vu,Vietnam,2019,TV-14,117,"Dramas, International Movies, Romantic Movies",Movie
s571,Dynasty Warriors,Chow Hin Yeung Roy,,2021,TV-14,118,"Action & Adventure, International Movies",Movie
s573,Hampstead,Joel Hopkins,"United Kingdom, Belgium",2019,PG-13,103,"Comedies, Dramas, International Movies",Movie
s575,Kung Fu Panda 2,Jennifer Yuh Nelson,"United States, China",2011,PG,93,"Children & Family Movies, Comedies",Movie
s577,Mary Magdalene,Garth Davis,"United Kingdom, Australia, United States",2019,R,120,"Dramas, Faith & Spirituality, International Movies",Movie
s581,Mobile Suit Gundam Hathaway,Shuko Murase,,2021,TV-14,96,"Action & Adventure, Anime Features, International Movies",Movie
s583,Mother's Day,Garry Marshall,United States,2016,PG-13,118,"Comedies, Dramas",Movie
s584,No Strings Attached,Ivan Reitman,"United States, United Kingdom",2011,R,109,"Comedies, Romantic Movies",Movie
s586,Ophelia,Claire McCarthy,"United Kingdom, United States",2018,PG-13,106,"Dramas, Romantic Movies",Movie
s590,Red Joan,Trevor Nunn,United Kingdom,2019,R,101,"Dramas, International Movies",Movie
s597,Sword of Trust,Lynn Shelton,United States,2019,R,89,"Comedies, Dramas, Independent Movies",Movie
s600,The Best of Enemies,Robin Bissell,United States,2019,PG-13,133,Dramas,Movie
